№ п/п,№ плавки,№ ручья,№ НЛЗ,"Ромбичность, мм",max,min,Δ
128,12002950,1,120029501105,1,181,180,1
129,12002950,2,120029501205,4,180,180,0
130,12002950,3,120029501305,3,182,181,1
131,12002950,4,120029501405,1,182,181,1
132,12002950,5,120029501505,10,181,181,0
133,12002950,6,120029501605,4,181,180,1
134,12002954,1,120029541105,2,181,181,0
135,12002954,2,120029541205,3,181,180,1
136,12002954,3,120029541305,6,182,180,2
137,12002954,4,120029541405,2,182,181,1
138,12002954,5,120029541505,10,181,180,1
139,12002954,6,120029541605,2,182,180,2
140,12002959,1,120029591105,2,151,150,1
141,12002959,1,120029591105,2,181,180,1
142,12002959,2,120029591205,7,151,151,0
143,12002959,2,120029591205,7,181,181,0
144,12002959,3,120029591305,1,152,151,1
145,12002959,3,120029591305,1,182,181,1
146,12002959,4,120029591405,10,151,151,0
147,12002959,4,120029591405,10,181,181,0
148,12002959,5,120029591505,7,152,151,1
149,12002959,5,120029591505,7,182,181,1
150,12002959,6,120029591605,2,151,150,1
151,12002959,6,120029591605,2,181,180,1
152,12002960,1,120029601105,7,151,150,1
153,12002960,1,120029601105,7,181,180,1
154,12002960,2,120029601205,8,181,180,1
155,12002960,2,120029601205,8,151,150,1
156,12002960,3,120029601305,7,151,151,0
157,12002960,3,120029601305,7,181,181,0
158,12002960,4,120029601405,3,151,150,1
159,12002960,4,120029601405,3,181,180,1
160,12002960,5,120029601505,1,182,181,1
161,12002960,6,120029601605,5,181,181,0
162,12002964,1,120029641105,2,181,181,0
163,12002964,2,120029641205,4,181,181,0
164,12002964,3,120029641305,9,181,180,1
165,12002964,4,120029641405,2,181,181,0
166,12002964,5,120029641505,8,182,181,1
167,12002964,6,120029641605,3,181,181,0
168,12002969,1,120029691105,2,181,180,1
169,12002969,2,120029691205,6,182,181,1
170,12002969,3,120029691305,1,181,180,1
171,12002969,4,120029691405,2,181,180,1
172,12002969,5,120029691505,9,182,181,1
173,12002969,6,120029691605,3,181,180,1
174,12002970,2,120029701205,4,151,151,0
175,12002970,2,120029701205,4,151,151,0
176,12002970,3,120029701305,3,151,150,1
177,12002970,4,120029701405,2,151,150,1
178,12002970,5,120029701505,2,151,151,0
179,12002970,6,120029701605,1,151,150,1
180,12002974,1,120029741105,2,151,151,0
181,12002974,2,120029741205,3,151,150,1
182,12002974,3,120029741305,4,151,151,0
183,12002974,4,120029741405,2,151,151,0
184,12002974,5,120029741505,2,151,150,1
185,12002974,6,120029741605,3,151,151,0
186,12002979,1,120029791105,4,151,150,1
187,12002979,2,120029791205,3,151,150,1
188,12002979,3,120029791305,5,151,151,0
189,12002979,4,120029791405,2,151,151,0
190,12002979,5,120029791505,2,151,150,1
191,12002979,6,120029791605,3,151,150,1
192,12002984,1,120029841105,1,151,150,1
193,12002984,2,120029841205,7,152,150,2
194,12002984,3,120029841305,1,151,150,1
195,12002984,4,120029841405,6,151,150,1
196,12002984,5,120029841505,2,151,150,1
197,12002984,6,120029841605,6,151,150,1
198,12002989,1,120029891105,1,151,150,1
199,12002989,2,120029891205,6,151,150,1
200,12002989,3,120029891305,1,151,150,1
201,12002989,4,120029891405,7,151,150,1
202,12002989,5,120029891505,2,151,150,1
203,12002989,6,120029891605,6,151,150,1
204,12002994,1,120029941105,3,151,150,1
205,12002994,2,120029941205,7,151,151,0
206,12002994,3,120029941305,2,151,151,0
207,12002994,4,120029941405,7,151,150,1
208,12002994,5,120029941505,2,151,150,1
209,12002994,6,120029941605,6,151,150,1
210,12002999,1,120029991101,4,151,151,0
211,12002999,4,120029991406,3,151,150,1
212,12002999,5,120029991505,2,150,150,0
213,12002999,6,120029991605,3,151,150,1
214,12003004,1,120030041105,5,151,151,0
215,12003004,2,120030041205,5,152,150,2
216,12003004,3,120030041305,3,151,150,1
217,12003004,4,120030041405,6,151,151,0
218,12003004,5,120030041505,4,152,151,1
219,12003004,6,120030041605,5,151,151,0
220,12003009,1,120030091105,3,151,151,0
221,12003009,2,120030091205,7,151,151,0
222,12003009,4,120030091405,8,151,150,1
223,12003009,5,120030091505,5,150,150,0
224,12003009,6,120030091605,7,151,151,0
225,12003013,1,120030131105,3,150,150,0
226,12003013,2,120030131205,2,152,151,1
227,12003013,4,120030131405,3,151,150,1
228,12003013,5,120030131505,4,151,150,1
229,12003013,6,120030131605,3,152,151,1
230,12003018,1,120030181105,6,152,151,1
231,12003018,2,120030181205,2,151,150,1
232,12003018,3,120030181305,6,152,150,2
233,12003018,4,120030181405,3,151,150,1
234,12003018,5,120030181505,5,152,151,1
235,12003018,6,120030181605,3,151,150,1
236,12003023,1,120030231105,3,152,150,2
237,12003023,2,120030231205,5,151,150,1
238,12003023,3,120030231305,5,152,151,1
239,12003023,4,120030231405,4,152,150,2
240,12003023,5,120030231505,5,151,150,1
241,12003023,6,120030231605,5,151,150,1
242,12003028,1,120030281105,4,152,150,2
243,12003028,2,120030281205,4,151,150,1
244,12003028,3,120030281305,1,152,151,1
245,12003028,4,120030281405,4,152,150,2
246,12003028,5,120030281505,7,151,150,1
247,12003028,6,120030281605,5,151,150,1
248,12003033,1,120030331105,2,151,150,1
249,12003033,2,120030331205,4,151,150,1
250,12003033,3,120030331305,2,151,150,1
251,12003033,4,120030331405,2,151,150,1
252,12003033,5,120030331505,5,151,150,1
253,12003033,6,120030331605,4,151,150,1
254,12003037,1,120030371105,5,152,150,2
255,12003037,2,120030371205,5,151,150,1
256,12003037,3,120030371305,3,152,151,1
257,12003037,4,120030371405,3,152,150,2
258,12003037,5,120030371505,6,151,150,1
259,12003037,6,120030371605,5,151,150,1
260,12003038,1,120030381105,1,151,150,1
261,12003038,2,120030381205,3,151,150,1
262,12003038,3,120030381305,1,151,150,1
263,12003038,4,120030381405,3,151,150,1
264,12003038,5,120030381505,5,151,150,1
265,12003038,6,120030381605,2,151,150,1
266,12003040,1,120030401105,1,151,150,1
267,12003040,2,120030401205,2,151,150,1
268,12003040,3,120030401305,3,151,151,0
269,12003040,4,120030401405,3,151,150,1
270,12003040,5,120030401504,5,151,151,0
271,12003040,6,120030401605,1,151,150,1
272,12003042,1,120030421105,1,151,150,1
273,12003042,3,120030421305,1,151,150,1
274,12003042,5,120030421505,1,151,150,1
275,12003042,6,120030421605,1,151,150,1
276,12003044,1,120030441105,3,151,150,1
277,12003044,2,120030441205,3,151,150,1
278,12003044,4,120030441405,5,151,150,1
279,12003044,5,120030441505,3,151,150,1
280,12003044,6,120030441605,1,151,150,1
281,12003047,1,120030471105,2,151,150,1
282,12003047,2,120030471205,3,151,150,1
283,12003047,4,120030471405,2,151,150,1
284,12003047,5,120030471505,3,151,150,1
285,12003047,6,120030471605,3,151,150,1
286,12003051,1,120030511105,5,151,150,1
287,12003051,2,120030511205,3,152,150,2
288,12003051,3,120030511305,5,151,150,1
289,12003051,4,120030511405,5,152,151,1
290,12003051,5,120030511505,4,151,150,1
291,12003051,6,120030511605,4,152,150,2
292,12003055,1,120030551105,3,151,150,1
293,12003055,2,120030551205,5,152,150,2
294,12003055,3,120030551305,5,151,150,1
295,12003055,4,120030551405,3,151,150,1
296,12003055,5,120030551505,5,152,150,2
297,12003055,6,120030551605,3,151,150,1
298,12003060,1,120030601105,2,151,150,1
299,12003060,2,120030601205,5,152,151,1
300,12003060,3,120030601305,3,152,150,2
301,12003060,4,120030601405,2,151,150,1
302,12003060,5,120030601505,7,152,150,2
303,12003060,6,120030601605,3,151,150,1
304,12003065,1,120030651105,5,151,151,0
305,12003065,2,120030651205,2,152,151,1
306,12003065,3,120030651305,3,151,151,0
307,12003065,4,120030651405,5,151,150,1
308,12003065,5,120030651505,4,151,151,0
309,12003065,6,120030651605,2,152,151,1
310,12003066,1,120030661105,7,152,151,1
311,12003066,2,120030661205,5,151,151,0
312,12003066,3,120030661305,3,151,150,1
313,12003066,4,120030661405,4,152,151,1
314,12003066,5,120030661505,10,151,151,0
315,12003066,5,120030661505,4,152,151,1
316,12003066,6,120030661605,6,151,150,1
317,12003070,1,120030701105,6,151,150,1
318,12003070,2,120030701205,6,151,151,0
319,12003070,3,120030701305,7,151,151,0
320,12003070,4,120030701405,7,151,150,1
321,12003070,5,120030701505,10,152,151,1
322,12003070,6,120030701605,3,150,150,0
323,12003075,1,120030751105,1,151,151,0
324,12003075,2,120030751205,4,151,151,0
325,12003075,3,120030751305,3,151,150,1
326,12003075,4,120030751405,4,151,150,1
327,12003075,5,120030751505,10,150,150,0
328,12003075,6,120030751605,3,151,150,1
329,12003075,6,120030751605,3,151,150,1
330,12003080,1,120030801105,4,151,150,1
331,12003080,2,120030801205,2,151,149,2
332,12003080,3,120030801305,5,150,150,0
333,12003080,4,120030801405,6,151,151,0
334,12003080,5,120030801505,3,152,150,2
335,12003080,6,120030801605,4,150,150,0
336,12003081,1,120030811105,5,151,151,0
337,12003081,2,120030811205,5,150,149,1
338,12003081,3,120030811305,3,152,150,2
339,12003081,4,120030811405,0,151,150,1
340,12003081,5,120030811505,6,152,151,1
341,12003081,6,120030811605,4,150,149,1
342,12003085,1,120030851105,5,150,150,0
343,12003085,2,120030851205,5,151,150,1
344,12003085,3,120030851305,5,151,150,1
345,12003085,4,120030851405,1,150,150,0
346,12003085,5,120030851505,5,151,151,0
347,12003085,6,120030851605,6,152,150,2
348,12003090,1,120030901105,5,151,150,1
349,12003090,2,120030901205,7,152,149,3
350,12003090,3,120030901305,4,151,151,0
351,12003090,4,120030901405,3,150,150,0
352,12003090,5,120030901505,3,152,151,1
353,12003090,6,120030901605,1,150,149,1
354,12003092,1,120030921101,3,181,180,1
355,12003092,2,120030921205,1,181,180,1
356,12003092,3,120030921305,5,182,180,2
357,12003092,4,120030921405,2,181,180,1
358,12003092,5,120030921505,1,181,180,1
359,12003092,6,120030921605,4,181,180,1
360,12003095,1,120030951105,4,181,180,1
361,12003095,2,120030951205,9,182,180,2
362,12003095,3,120030951305,4,181,180,1
363,12003095,4,120030951405,2,181,180,1
364,12003095,5,120030951505,9,182,180,2
365,12003095,6,120030951605,5,181,180,1
366,12003100,1,120031001105,3,181,180,1
367,12003100,2,120031001205,7,182,180,2
368,12003100,3,120031001305,4,181,180,1
369,12003100,4,120031001405,1,181,180,1
370,12003100,5,120031001505,8,182,180,2
371,12003100,6,120031001605,3,181,180,1
372,12003105,1,120031051105,4,181,180,1
373,12003105,2,120031051205,8,182,180,2
374,12003105,3,120031051305,3,181,180,1
375,12003105,4,120031051405,2,181,180,1
376,12003105,5,120031051505,9,182,180,2
377,12003105,5,120031051505,9,182,180,2
378,12003105,6,120031051605,5,181,180,1
379,12003110,1,120031101105,3,181,180,1
380,12003110,2,120031101205,10,181,181,0
381,12003110,3,120031101305,7,181,181,0
382,12003110,4,120031101405,4,180,180,0
383,12003110,5,120031101505,6,182,181,1
384,12003110,6,120031101605,4,181,181,0
385,12003115,1,120031151105,5,151,151,0
386,12003115,1,120031151105,5,181,181,0
387,12003115,2,120031151205,10,181,180,1
388,12003115,3,120031151305,8,181,181,0
389,12003115,4,120031151405,3,181,180,1
390,12003115,6,120031151605,5,181,181,0
391,12003120,1,120031201105,4,181,180,1
392,12003120,2,120031201205,8,181,181,0
393,12003120,3,120031201305,4,181,180,1
394,12003120,4,120031201405,2,181,180,1
395,12003120,5,120031201505,10,182,181,1
396,12003120,6,120031201605,4,181,181,0
397,12003125,1,120031251105,8,181,181,0
398,12003125,2,120031251205,10,182,181,1
399,12003125,3,120031251305,4,181,180,1
400,12003125,4,120031251405,2,181,180,1
401,12003125,5,120031251505,6,181,181,0
402,12003125,6,120031251605,3,181,180,1
403,12003126,1,120031261105,4,182,180,2
404,12003126,2,120031261205,3,182,181,1
405,12003126,3,120031261305,7,182,180,2
406,12003126,4,120031261405,3,182,181,1
407,12003126,6,120031261605,5,182,181,1
408,12003130,1,120031301105,4,182,181,1
409,12003130,2,120031301205,1,181,181,0
410,12003130,3,120031301305,3,182,180,2
411,12003130,4,120031301405,3,181,180,1
412,12003130,5,120031301505,10,182,181,1
413,12003130,6,120031301605,4,182,180,2
414,12003135,1,120031351105,6,182,180,2
415,12003135,2,120031351205,7,181,180,1
416,12003135,3,120031351305,8,182,181,1
417,12003135,4,120031351405,2,182,180,2
418,12003135,5,120031351505,10,181,180,1
419,12003135,6,120031351605,3,181,180,1
420,12003140,1,120031401105,7,182,180,2
421,12003140,2,120031401205,5,181,180,1
422,12003140,3,120031401305,6,182,181,1
423,12003140,4,120031401405,2,181,180,1
424,12003140,4,120031401405,2,181,180,1
425,12003140,5,120031401505,9,182,180,2
426,12003140,6,120031401605,3,181,180,1
427,12003145,1,120031451105,7,182,180,2
428,12003145,2,120031451205,3,181,180,1
429,12003145,3,120031451305,7,182,181,1
430,12003145,4,120031451405,3,181,180,1
431,12003145,6,120031451605,2,181,180,1
432,12003146,1,120031461105,4,151,150,1
433,12003146,2,120031461205,1,151,150,1
434,12003146,4,120031461405,5,152,150,2
435,12003146,5,120031461505,4,151,149,2
436,12003146,6,120031461605,2,151,150,1
437,12003149,1,120031491105,5,151,151,0
438,12003149,2,120031491205,2,151,150,1
439,12003149,3,120031491305,4,151,151,0
440,12003149,4,120031491405,1,151,150,1
441,12003149,5,120031491505,3,151,150,1
442,12003149,6,120031491605,5,151,150,1
443,12003152,1,120031521105,3,151,150,1
444,12003152,2,120031521205,3,151,150,1
445,12003152,3,120031521305,1,151,150,1
446,12003152,4,120031521405,4,151,150,1
447,12003152,5,120031521505,1,151,150,1
448,12003152,6,120031521605,1,151,151,0
449,12003153,1,120031531105,1,151,150,1
450,12003153,2,120031531205,3,151,150,1
451,12003153,3,120031531305,3,151,150,1
452,12003153,4,120031531405,1,151,150,1
453,12003153,5,120031531505,3,151,150,1
454,12003153,6,120031531605,2,151,150,1
455,12003157,1,120031571105,2,151,150,1
456,12003157,2,120031571205,7,151,150,1
457,12003157,3,120031571305,2,151,150,1
458,12003157,4,120031571405,1,151,150,1
459,12003157,5,120031571505,1,151,150,1
460,12003157,6,120031571605,3,151,150,1
461,12003162,1,120031621112,2,151,150,1
462,12003162,2,120031621202,2,151,150,1
463,12003162,3,120031621314,5,151,150,1
464,12003162,4,120031621402,1,151,150,1
465,12003162,5,120031621513,2,151,150,1
466,12003162,6,120031621602,1,151,150,1
467,12003167,1,120031671105,7,151,150,1
468,12003167,2,120031671205,1,151,150,1
469,12003167,3,120031671305,3,151,150,1
470,12003167,4,120031671405,5,151,150,1
471,12003167,5,120031671505,3,151,150,1
472,12003172,1,120031721105,3,151,150,1
473,12003172,2,120031721205,2,151,150,1
474,12003172,3,120031721305,3,151,150,1
475,12003172,4,120031721405,2,151,150,1
476,12003172,5,120031721505,1,151,150,1
477,12003172,6,120031721605,5,151,150,1
478,12003177,1,120031771105,1,151,150,1
479,12003177,2,120031771205,6,150,150,0
480,12003177,3,120031771305,3,150,150,0
481,12003177,4,120031771405,2,151,150,1
482,12003177,5,120031771505,10,151,150,1
483,12003177,6,120031771605,1,151,150,1
484,12003181,1,120031811105,4,151,151,0
485,12003181,2,120031811205,5,151,150,1
486,12003181,3,120031811305,2,152,151,1
487,12003181,4,120031811405,5,150,150,0
488,12003181,5,120031811505,6,152,150,2
489,12003181,6,120031811605,2,151,150,1
490,12003182,1,120031821105,1,181,181,0
491,12003182,2,120031821205,1,183,181,2
492,12003182,3,120031821305,4,182,180,2
493,12003182,4,120031821405,3,183,181,2
494,12003182,5,120031821505,3,182,180,2
495,12003182,6,120031821605,2,183,181,2
496,12003186,1,120031861105,0,182,180,2
497,12003186,2,120031861205,4,183,181,2
498,12003186,3,120031861305,3,181,181,0
499,12003186,4,120031861405,2,182,180,2
500,12003186,5,120031861505,7,182,180,2
501,12003186,6,120031861605,1,183,180,3
502,12003191,1,120031911105,1,182,180,2
503,12003191,2,120031911205,3,181,180,1
504,12003191,3,120031911305,4,182,180,2
505,12003191,4,120031911405,4,181,180,1
506,12003191,5,120031911505,2,181,180,1
507,12003191,6,120031911605,3,182,180,2
508,12003196,1,120031961105,2,181,180,1
509,12003196,2,120031961205,2,181,180,1
510,12003196,3,120031961305,4,182,180,2
511,12003196,4,120031961405,5,181,180,1
512,12003196,5,120031961505,2,181,180,1
513,12003196,6,120031961605,3,182,180,2
514,12003201,1,120032011105,2,181,180,1
515,12003201,2,120032011205,2,181,180,1
516,12003201,3,120032011305,4,181,180,1
517,12003201,4,120032011405,6,181,180,1
518,12003201,5,120032011505,3,181,180,1
519,12003201,6,120032011605,3,181,180,1
520,12003206,1,120032061105,2,181,180,1
521,12003206,2,120032061205,4,181,180,1
522,12003206,3,120032061305,6,181,180,1
523,12003206,4,120032061405,7,181,180,1
524,12003206,5,120032061505,2,181,180,1
525,12003206,6,120032061605,3,181,180,1
526,12003211,1,120032111105,3,181,180,1
527,12003211,2,120032111205,1,181,181,0
528,12003211,3,120032111305,1,182,181,1
529,12003211,4,120032111405,1,180,180,0
530,12003211,5,120032111505,3,182,181,1
531,12003211,6,120032111605,3,180,180,0
532,12003216,1,120032161105,3,181,181,0
533,12003216,2,120032161205,1,182,181,1
534,12003216,3,120032161305,3,181,181,0
535,12003216,4,120032161405,2,180,180,0
536,12003216,5,120032161505,2,181,180,1
537,12003216,6,120032161605,2,181,180,1
538,12003219,1,120032191105,2,182,181,1
539,12003219,2,120032191205,1,181,181,0
540,12003219,3,120032191305,5,180,180,0
541,12003219,4,120032191405,3,181,180,1
542,12003219,5,120032191505,4,182,181,1
543,12003219,6,120032191605,1,181,181,0
544,12003220,1,120032201105,1,181,181,0
545,12003220,2,120032201205,5,182,181,1
546,12003220,3,120032201305,8,182,182,0
547,12003220,4,120032201405,4,180,180,0
548,12003220,5,120032201505,2,181,180,1
549,12003220,6,120032201605,2,182,181,1
550,12003224,1,120032241105,2,182,180,2
551,12003224,2,120032241205,6,183,181,2
552,12003224,3,120032241305,3,182,181,1
553,12003224,4,120032241405,2,182,180,2
554,12003224,5,120032241505,4,182,180,2
555,12003224,6,120032241605,2,183,181,2
556,12003229,1,120032291105,3,181,180,1
557,12003229,2,120032291205,4,182,180,2
558,12003229,3,120032291305,3,183,181,2
559,12003229,4,120032291405,2,182,180,2
560,12003229,5,120032291505,6,181,180,1
561,12003229,6,120032291605,5,183,181,2
562,12003234,1,120032341105,3,182,180,2
563,12003234,2,120032341205,5,181,180,1
564,12003234,3,120032341305,3,183,181,2
565,12003234,4,120032341405,5,181,180,1
566,12003234,5,120032341505,2,182,180,2
567,12003234,5,120032341516,6,183,181,2
568,12003239,1,120032391105,2,183,181,2
569,12003239,2,120032391205,4,181,180,1
570,12003239,3,120032391305,3,182,180,2
571,12003239,4,120032391405,4,183,182,1
572,12003239,5,120032391505,3,181,180,1
573,12003239,6,120032391605,4,182,180,2
574,12003240,1,120032401105,1,182,181,1
575,12003240,2,120032401205,5,181,180,1
576,12003240,3,120032401305,3,181,180,1
577,12003240,4,120032401405,4,183,182,1
578,12003240,5,120032401505,3,181,180,1
579,12003240,6,120032401605,4,182,180,2
580,12003244,1,120032441105,2,182,181,1
581,12003244,2,120032441205,5,181,180,1
582,12003244,3,120032441305,3,182,180,2
583,12003244,4,120032441405,4,183,182,1
584,12003244,5,120032441505,3,181,180,1
585,12003244,6,120032441605,4,182,180,2
586,12003249,1,120032491105,3,182,181,1
587,12003249,2,120032491205,4,181,180,1
588,12003249,3,120032491305,3,182,180,2
589,12003249,4,120032491405,5,183,182,1
590,12003249,5,120032491505,3,181,180,1
591,12003249,6,120032491605,3,182,180,2
592,12003250,1,120032501105,9,183,181,2
593,12003250,2,120032501205,2,182,181,1
594,12003250,3,120032501305,3,182,180,2
595,12003250,4,120032501405,9,183,180,3
596,12003250,5,120032501505,9,183,180,3
597,12003250,6,120032501605,7,183,180,3
598,12003254,1,120032541105,6,182,181,1
599,12003254,2,120032541205,10,183,181,2
600,12003254,3,120032541305,4,182,181,1
601,12003254,4,120032541405,9,183,181,2
602,12003254,5,120032541505,6,183,181,2
603,12003254,6,120032541605,10,183,180,3
604,12003259,1,120032591105,6,182,180,2
605,12003259,2,120032591205,4,182,181,1
606,12003259,3,120032591305,4,182,180,2
607,12003259,4,120032591405,10,182,180,2
608,12003259,5,120032591505,3,182,181,1
609,12003259,6,120032591605,1,181,180,1
610,12003262,1,120032621105,8,182,181,1
611,12003262,2,120032621205,2,182,181,1
612,12003262,3,120032621305,10,182,181,1
613,12003262,3,120032621305,10,183,180,3
614,12003262,4,120032621405,9,182,181,1
615,12003262,5,120032621505,5,182,181,1
616,12003262,6,120032621605,7,182,181,1
617,12003264,1,120032641105,8,182,181,1
618,12003264,2,120032641205,2,182,181,1
619,12003264,3,120032641305,10,183,180,3
620,12003264,4,120032641405,9,182,181,1
621,12003264,5,120032641505,5,182,181,1
622,12003264,6,120032641605,7,182,181,1
623,12003269,1,120032691105,6,182,181,1
624,12003269,2,120032691205,2,182,181,1
625,12003269,3,120032691305,3,182,181,1
626,12003269,4,120032691405,2,182,181,1
627,12003269,5,120032691505,2,182,181,1
628,12003269,6,120032691605,9,182,180,2
629,12003272,1,120032721105,4,182,180,2
630,12003272,2,120032721205,5,183,181,2
631,12003272,3,120032721305,3,181,180,1
632,12003272,4,120032721405,5,182,180,2
633,12003272,5,120032721505,4,181,180,1
634,12003272,6,120032721605,3,182,180,2
635,12003276,1,120032761105,3,181,180,1
636,12003276,2,120032761205,3,182,180,2
637,12003276,3,120032761305,5,181,180,1
638,12003276,4,120032761405,3,182,180,2
639,12003276,5,120032761505,4,183,181,2
640,12003276,6,120032761605,4,181,180,1
641,12003281,1,120032811105,3,182,180,2
642,12003281,2,120032811205,3,181,180,1
643,12003281,3,120032811305,2,182,180,2
644,12003281,4,120032811405,5,183,181,2
645,12003281,5,120032811505,6,182,181,1
646,12003281,6,120032811605,6,181,180,1
647,12003286,1,120032861105,1,181,181,0
648,12003286,2,120032861205,3,180,180,0
649,12003286,3,120032861305,5,181,181,0
650,12003286,4,120032861405,8,181,180,1
651,12003286,5,120032861505,4,182,181,1
652,12003286,6,120032861605,5,182,181,1
653,12003291,1,120032911105,6,181,181,0
654,12003291,2,120032911205,7,181,180,1
655,12003291,3,120032911305,8,182,181,1
656,12003291,4,120032911405,3,181,181,0
657,12003291,5,120032911505,1,180,180,0
658,12003291,6,120032911605,2,182,181,1
659,12003292,1,120032921107,3,182,180,2
660,12003292,2,120032921205,3,181,180,1
661,12003292,3,120032921305,3,182,180,2
662,12003292,4,120032921405,2,183,181,2
